<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:034a542cea6aa5f0f68e45f2f2eda8ff8a0d89d9b305fed1a403e016a7cd34dc
size 2194
=======
Institution;Acronym
Ateneo de Manila University;AdMU
Alfred Wegener Institute;AWI
Agency for Meteorology, Climatology and Geophysics;BMKG
Bogazici University;BOUN
Brandenburgische Technische Universität;BTU
Canadian Centre for Climate Modelling and Analysis;CCCma
Climate Limited-area Modelling Community;CLMcom
Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici;CMCC
ETH Zurich;ETH
Goethe University Frankfurt;GUF
Helmholtz-Zentrum Hereon;HZG
Karlsruhe Institute of Technology;KIT
Centre National de Recherches Météorologiques;CNRM
Centre de Recherches de Climatologie;CRC
Commonwealth Scientific and Industrial Research Organisation;CSIRO
The Cyprus Institute;CYI
Danish Meteorological Institute;DMI
Deutscher Wetterdienst;DWD
ELTE Eötvös Loránd University;ELU
Italian National Agency for New Technologies, Energy and Sustainable Economic Development;ENEA
Climate Service Center Germany;GERICS
Cooperation GERICS–AWI;GERICS-AWI
Hanoi University of Science and Technology;HUST
Abdus Salam International Centre for Theoretical Physics;ICTP
Centre for Climate Change Research, Indian Institute of Tropical Meteorology;IITM
National Institute for Space Research;INPE
Institut Pierre-Simon Laplace;LMD
Iowa State University;ISU
Istanbul Technical University;ITU
Royal Netherlands Meteorological Institute;KNMI
IPSL Dynamic Meteorology Laboratory;IPSL
Manila Observatory;MO
Main Geophysical Observatory;MGO
Met Office Hadley Centre;MOHC
Max Planck Institute for Meteorology;MPIM
National Center for Atmospheric Research;NCAR
National University of Ireland Maynooth;NUIM
Ouranos;OURANOS
Oak Ridge National Laboratory;ORNL
Royal Meteorological Institute of Belgium & Ghent University;RMIB-UGent
Ramkhamhaeng University Center of Regional Climate Change and Renewable Energy;RU-CORE
Swedish Meteorological and Hydrological Institute;SMHI
University of Arizona;UA
Meteorology Group, Universidad de Cantabria-CSIC;UCAN
University of Hohenheim;UHOH
University of Liège;ULg
University of Belgrade;UNIBELGRADE
Universiti Kebangsaan Malaysia;UKM
University of New South Wales;UNSW
Université du Québec à Montréal;UQAM
Hanoi University of Science, Vietnam National University;VNU-HUS
>>>>>>> ae4cf28 (code and vocab changes)
